sequence,labels
"Oversee maintenance activities, making sure that staff is following procedures and ensuring routine and periodic refurbishment and maintenance activities.",Others Skills
Perform safety audits and inspections on workplaces and workplace equipment. Ensure that they meet safety regulations and identify hazards and risks.,Social Skills
"Perform the evaluation and assessment of the potential of a project, plan, proposition or new idea. Realise a standardised study which is based on extensive investigation and research to support the process of decision making.",Personal Skills
Prepare and distribute documentation to ensure all people involved in the production receive relevant and up-to-date information.,Social Skills
Provide suitable advice and assistance so that customers find the exact goods and services they were looking for. Discuss product selection and availability.,Personal Skills
Refill shelves with merchandise to be sold.,Others Skills
Repair and perform routine maintenance on equipment and systems in power plants to ensure that everything functions safely and is compliant with legislation.,Technological Skills
"Resolve customer inquiries for returns, exchange of merchandise, refunds or bill adjustments. Follow organisational guidelines during this process.",Social Skills
"Revise and analyse financial information and requirements of projects such as their budget appraisal, expected turnover, and risk assessment for determining the benefits and costs of the project. Assess if the agreement or project will redeem its investment, and whether the potential profit is worth the financial risk.",Others Skills
"Spot threats related to security at the airport and apply procedures to counteract them in a quick, safe, and efficient way.",Others Skills
"Study, implement, and monitor the integrity and compliance of products with the required regulatory aspects by law. Advise on applying and abiding by regulations on the product and manufacturing regulations.",Social Skills
Take in of purchase requests for items that are currently unavailable.,Others Skills
Test the suitability of vehicles following maintenance. Ensure that all security and manufacturer specifications have been met before releasing the vehicles to operations in airports.,Others Skills
"Understanding of electrical circuits and being able to repair. Test and replace electrical components and wiring, using test meters, soldering equipment, and hand tools.",Technological Skills
Understanding written sentences and paragraphs in work related documents.,Others Skills
"Use non-computerised draughting techniques to make detailed drawings of designs by hand with specialised tools such as pencils, rulers and templates.",Others Skills
"Use soldering equipment, such as a soldering gun, a soldering torch or a gas-powered iron, to melt and join together pieces of metal or steel.",Technological Skills
"Use various techniques to ensure the product quality is respecting the quality standards and specifications. Oversee defects, packaging and sendbacks of products to different production departments.",Social Skills
"Conduct employee recruitment, helping employees to develop their personal and organisational skills, knowledge, and competencies as well as providing feedback and performance appraisals. It includes motivating employees, by implementing rewarding systems (managing pay and benefit systems) in order to maximise employee performance with regard to employer's strategic objectives.",Others Skills
Deliver thoughts and ideas in impactful and influencing manner to persuade customers to become interested in new products and promotions. Persuade clients that a product or service will satisfy their needs.,Personal Skills
"Giving full attention to what other people are saying, taking time to understand the points being made, asking questions as appropriate, and not interrupting at inappropriate times.",Personal Skills
"Issue official documentation which grants licence holders with official permission to perform certain activities, after having investigated the application and processed the necessary documentation.",Others Skills
Practise reasoning and apply simple or complex numerical concepts and calculations.,Thinking Skills
"Solve problems which arise in planning, prioritising, organising, directing/facilitating action and evaluating performance. Use systematic processes of collecting, analysing, and synthesising information to evaluate current practice and generate new understandings about practice.",Personal Skills
Develop a code of letters and numbers to label diagrams for assembly instructions.,Programming Skills
"Use computer-aided manufacturing (CAM) programmes to control machinery and machine tools in the creation, modification, analysis, or optimisation as part of the manufacturing processes of workpieces.",Technological Skills
"Utilise computer equipment or digital devices to facilitate quality control, data management, and communication. Follow instructions given by a computer programme, create computer files or documents.",Technological Skills
Collect contact info for all team members and decide on modes of communication.,Social Skills
"Handle customer expectations in a professional manner, anticipating and addressing their needs and desires. Provide flexible customer service to ensure customer satisfaction and loyalty.",Social Skills
Offer help and advice to service technicians in case of machine malfunctions and other repair tasks.,Social Skills
"Re-assemble transport equipment engines after overhaul, inspection, repair, maintenace or cleaning according to blueprints and technical plans.",Technological Skills
"Use appropriate questions and active listening in order to identify customer expectations, desires and requirements according to product and services.",Social Skills
Adjust designs of products or parts of products so that they meet requirements.,Technological Skills
"Analyse the training problems and identify the training requirements of an organisation or individuals, so as to provide them with instruction tailored to their prior mastery, profile, means and problem.",Thinking Skills
"Analyse, transform and model data in order to discover useful information and to support decision-making.",Digital Skills
"Analyse, understand and apply the information provided regarding technical conditions.",Thinking Skills
Assemble and prepare goods and demonstrate their functionalities to customers.,Social Skills
"Assist engineers or scientists with conducting experiments, performing analysis, developing new products or processes, constructing theory, and quality control.",Thinking Skills
"Build a model of the product out of wood, clay or other materials by using hand or electrical tools.",Technological Skills
"Check heights, colour and other attributes of finished product against specifications.",Others Skills
Check machinery and equipment to ensure reliable performance during use and operations in worksites.,Technological Skills
"Collaborate with engineers to ensure common understanding and discuss product design, development and improvement.",Social Skills
"Conduct experimental, environmental and operational tests on models, prototypes or on the systems and equipment itself in order to test their strength and capabilities under normal and extreme conditions.",Technological Skills
"Continuously check up on the automated machine's set-up and execution or make regular control rounds. If necessary, record and interpret data on the operating conditions of installations and equipment in order to identify abnormalities.",Technological Skills
"Control nuclear plant systems, such as ventilation and water draining systems, to ensure proper functioning and identify irregularities.",Technological Skills
Control that items put up for sale are correctly priced and displayed and that they function as advertised.,Others Skills
"Convey relevant scheduling information. Present the schedule to the persons concerned, and inform them of any schedule changes. Approve the schedules and verify that everyone has understood the information sent to them.",Social Skills
Correct and adjust the reliability of an electronic instrument by measuring output and comparing results with the data of a reference device or a set of standardised results. This is done in regular intervals which are set by the manufacturer and using calibration devices.,Technological Skills
"Create detailed technical plans of machinery, equipment, tools and other products.",Technological Skills
Create technical designs and technical drawings using specialised software.,Technological Skills
"Demonstrate how to use a product in a correct and safe manner, provide customers with information on the product's main features and benefits, explain operation, correct use and maintenance. Persuade potential customers to purchase items.",Social Skills
"Design engineering parts, assemblies, products, or systems.",Technological Skills
Design prototypes of products or components of products by applying design and engineering principles.,Technological Skills
"Develop testing protocols in collaboration with engineers and scientists to enable a variety of analyses such as environmental, chemical, physical, thermal, structural, resistance or surface analyses on a wide range of materials such as metals, ceramics or plastics.",Thinking Skills
"Develop testing protocols to enable a variety of analyses of products, systems, and components.",Thinking Skills
"Devise methods to determine improvement in productivity, adjusting the goals to be reached and the necessary time and resources.",Others Skills
"Display results, statistics and conclusions to an audience in a transparent and straightforward way.",Social Skills
Ensure that finished products meet or exceed company specifications.,Personal Skills
Evaluate customer's comments in order to find out whether customers feel satisfied or dissatisfied with the product or service.,Social Skills
Evaluate how much stock is used and determine what should be ordered.,Others Skills
Identifying complex problems and reviewing related information to develop and evaluate options and implement solutions.,Thinking Skills
"Improve production rates, efficiencies, yields, costs, and changeovers of products and processes by using relevant advanced, innovative, and cutting edge technology.",Technological Skills
"Interpret and analyse data collected during testing in order to formulate conclusions, new insights or solutions.",Digital Skills
"Keep records of the machine's faults, interventions and irregularities for quality control.",Others Skills
"Lead inspections and the protocol involved, such as introducing the inspection team, explaining the purpose of the inspection, performing the inspection, requesting documents, asking appropriate questions, and maintaining a high level of professionalism when investigating subjects.",Personal Skills
"Liaise with managers of other departments ensuring effective service and communication, i.e. sales, planning, purchasing, trading, distribution and technical.",Social Skills
"Maintain and repair electrical equipment, switchboards, electric motors, generators and other electrical and electronic devices used in vehicles. Detect electric malfunctions, locate faults, and take measures to prevent damage. Operate electrical testing and measuring equipment. Interpret electrical and simple electronic diagrams.",Technological Skills
Maintain equipment used for testing the quality of systems and products.,Technological Skills
"Oversee the selection, training, performance and motivation of staff.",Social Skills
Oversee the testing procedures to ensure that the end-product complies with the quality and safety requirements.,Technological Skills
"Perform tests on products' models to analyse the ability of products to endure temperature, loads, motion, vibration and other factors.",Technological Skills
"Perform tests putting a system, machine, tool or other equipment through a series of actions under actual operating conditions in order to assess its reliability and suitability to realise its tasks, and adjust settings accordingly.",Technological Skills
"Plan, coordinate, and direct all production activities to insure the goods are made on time, in correct order, of adequate quality and composition, starting from intake goods up to shipping.",Thinking Skills
"Prepare and make up regular reports on the types and amounts of fuel, oil and other accessories sold in fuel stations over a period of time.",Others Skills
"Prepare the invoice of goods sold or services provided, containing individual prices, the total charge, and the terms. Complete order processing for orders received via telephone, fax and internet and calculate the customerâs final bill.",Others Skills
Produce accurate calculations on time necessary to fulfil future technical tasks based on past and present information and observations or plan the estimated duration of individual tasks in a given project.,Thinking Skills
"Produce research documents or give presentations to report the results of a conducted research and analysis project, indicating the analysis procedures and methods which led to the results, as well as potential interpretations of the results.",Thinking Skills
"Reach an agreement with the supplier upon technical, quantity, quality, price, conditions, storage, packaging, send-back and other requirements related to the purchasing and delivering process.",Social Skills
"Read and comprehend standard blueprints, machine, and process drawings.",Technological Skills
"Read and interpret such technical resources such as digital or paper drawings and adjustment data in order to properly set up a machine or working tool, or to assemble mechanical equipment.",Technological Skills
"Read the technical drawings of a product made by the engineer in order to suggest improvements, make models of the product or operate it.",Technological Skills
Recomend product modifications and process improvements.,Personal Skills
Record data which has been identified specifically during preceding tests in order to verify that outputs of the test produce specific results or to review the reaction of the subject under exceptional or unusual input.,Others Skills
Register and handle cash transactions by using point of sale register.,Others Skills
"Survey and investigate recent trends and developments in technology. Observe and anticipate their evolution, according to current or future market and business conditions.",Thinking Skills
"Take ultimate responsibility for the safety, quality and efficiency of the production area.",Social Skills
Understand and use technical documentation in the overall technical process.,Thinking Skills
Use equipment to test performance and operation of machinery.,Technological Skills
Work closely and communicate with engineers on designs or new products.,Social Skills
Work closely with the relevant quality assurance or grading party involved.,Social Skills
Â Minitab.,Technological Skills
"Check the functionality of essential components of airport vehicles and equipment such as brakes, controls, tires, and lights before releasing them for operations.",Thinking Skills
Command products from relevant suppliers to get convenient and profitable products to purchase.,Personal Skills
Determine and schedule production and assembly steps. Plan manpower and equipment needs taking ergonomic considerations into account.,Others Skills
Determine if a product or its components can be produced by applying engineering principles.,Others Skills
Determine maintenance schedules for the equipment and vehicles used in the airport. Consider different criteria in order to plan maintenance activities. Ensure availability of vehicles and equipment at all times.,Others Skills
"Develop strategies and plans aiming at achieving a sustained company growth, be the company self-owned or somebody else's. Strive with actions to increase revenues and positive cash flows.",Personal Skills
Direct and supervise the day-to-day activities of subordinate personnel.,Social Skills
"Disassemble internal combustion engines, generators, pumps, transmissions and other components of mechanical equipment.",Technological Skills
Disassembles equipment using hand tools in order to clean equipments and to perform regular operational maintenance.,Others Skills
"Draw layout specifications for machinery, equipment and building structures. Specify which materials should be used and the size of the components. Show different angles and views of the product.",Technological Skills
Enhance the product workflow by analysing and developing logistics plans that impact production as well as distribution.,Others Skills
Evaluate when to invest in replacing machines or machine tools and take the necessary actions.,Others Skills
"Follow advice provided by manufacturers on the use and maintenance of the different vehicles, equipment, and instruments used in airports. Establish communication processes with manufacturers and understand all the mechanical, electrical, and preventive, actions needed to utilise equipment effectively.",Social Skills
"Follow production schedule taking into account all requirements, times and needs. This schedule outlines what individual commodities must be produced in each time period and encapsulates various concerns like production, staffing, inventory, etc. It is usually linked to manufacturing where the plan indicates when and how much of each product will be demanded. Utilise all the information in the actual implementation of the plan.",Others Skills
"Gain, correct or improve knowledge about phenomena by using scientific methods and techniques, based on empirical or measurable observations.",Thinking Skills
Give consent to the finished engineering design to go over to the actual manufacturing and assembly of the product.,Social Skills
"Identify operating problems, decide what to do about it and report accordingly.",Technological Skills
Lead process optimisation using statistical data. Design experiments on the production line and functional process control models.,Technological Skills
"Lead staff members through breaks and lunches, schedule work adhere to labour hours allocated to the department.",Social Skills
List the design specifications such as materials and parts to be used and a cost estimate.,Others Skills
Manage production stops due to insufficient product quality and manage associated waste issues within the scope of good manufacturing practices.,Personal Skills
"Meet contract specifications, schedules and manufacturers' information. Check that the work can be carried out in the estimated and allocated time.",Personal Skills
"Monitor parameters to keep an eye on the production, developments and costs within your area of control.",Others Skills
Monitor quality standards in manufacturing and finishing process.,Others Skills
Monitor the flow of the work pieces on the conveyor belt as they are processed by the machine to ensure optimal productivity.,Others Skills
Order the contents of a storage area to improve efficiency with respect to the inflow and outflow of the stored items.,Others Skills
"Oversee all personnel and processes to comply with health, safety and hygiene standards. Communicate and support alignment of these requirements with the company's health and safety programmes.",Social Skills
Oversee and manage day-to-day operations in a service station forecourt.,Others Skills
Perform the maintenance on installed equipment on-site. Follow procedures to avoid uninstalling equipment from machinery or vehicles.,Technological Skills
"Plan, monitor and report on the budget.",Personal Skills
Plans shifts of employees to ensure completion of all customer orders and satisfactory completion of the production plan.,Social Skills
"Position the engine on a stand or in a cell, ready for testing, by using a hoist or overhead crane.",Technological Skills
Prepare an audit plan including both pre-audits and certification audits. Communicate with the different processes in order to implement the improvement actions that lead to certification.,Others Skills
"Re-assemble transport equipment engines after overhaul, inspection, .",Thinking Skills
React quickly in case of emergency and set planned emergency procedures in motion.,Personal Skills
"Report on production to the hierarchy. Mention a specified set of parameters, such as amount produced and timing, and any issues or unexpected occurrences.",Thinking Skills
"Schedule the production aiming maximum profitability while still maintaining the company KPIs in cost, quality, service and innovation.",Others Skills
"Secure the operation site fixing boundaries, restricting access, placing signs and taking other measures in order to guarantee public and staff safety.",Others Skills
Select relevant documentation related to the ongoing or complete work and take steps to archive it in a way that ensures its future accessibility.,Others Skills
Sell different types of lubricant cooling products for vehicles.,Others Skills
Send equipment that didn't pass inspection back to the assembly line for re-assembly.,Others Skills
Set up procedures for maintaining and improving health and safety in the workplace.,Social Skills
"Transport heavy objects using lifting equipment such as cranes, forklifts etc.",Others Skills
"Write down a report with all your findings encountered during the stress analysis. Write down performances, failures and other conclusions.",Thinking Skills
"Write the results and conclusions of the inspection in a clear and intelligible way. Log the inspection's processes such as contact, outcome, and steps taken.",Thinking Skills
Adhere to organisational or department specific standards and guidelines. Understand the motives of the organisation and the common agreements and act accordingly.,Social Skills
"Adhere to the Control of Substances Hazardous to Health (COSHH) procedures for activities that involve hazardous substances, such as bacteria, allergens, waste oil, paint or brake fluids that result in illness or injury.",Social Skills
Adjust designs of products or parts of products so that they meet requirements.,Technological Skills
Analyse production processes leading toward improvement. Analyse in order to reduce production losses and overall manufacturing costs.,Thinking Skills
"Analyse, understand and apply the information provided regarding technical conditions.",Thinking Skills
Apply mathematical methods and make use of calculation technologies in order to perform analyses and devise solutions to specific problems.,Technological Skills
"Assist engineers or scientists with conducting experiments, performing analysis, developing new products or processes, constructing theory, and quality control.",Thinking Skills
"Build a model of the product out of wood, clay or other materials by using hand or electrical tools.",Technological Skills
"Check heights, colour and other attributes of finished product against specifications.",Others Skills
"Collaborate with engineers to ensure common understanding and discuss product design, development and improvement.",Social Skills
Collect contact info for all team members and decide on modes of communication.,Social Skills
Command products from relevant suppliers to get convenient and profitable products to purchase.,Personal Skills
"Conduct experimental, environmental and operational tests on models, prototypes or on the systems and equipment itself in order to test their strength and capabilities under normal and extreme conditions.",Technological Skills
"Continuously check up on the automated machine's set-up and execution or make regular control rounds. If necessary, record and interpret data on the operating conditions of installations and equipment in order to identify abnormalities.",Technological Skills
"Control nuclear plant systems, such as ventilation and water draining systems, to ensure proper functioning and identify irregularities.",Technological Skills
Correct and adjust the reliability of an electronic instrument by measuring output and comparing results with the data of a reference device or a set of standardised results. This is done in regular intervals which are set by the manufacturer and using calibration devices.,Technological Skills
Create a mathematical or three-dimensional computer graphic model of the product by using a CAE system or a calculator.,Technological Skills
"Create detailed technical plans of machinery, equipment, tools and other products.",Technological Skills
Create rough pictures to assist in creating and communicating design concepts.,Others Skills
Create technical designs and technical drawings using specialised software.,Technological Skills
"Demonstrate how to use a product in a correct and safe manner, provide customers with information on the product's main features and benefits, explain operation, correct use and maintenance. Persuade potential customers to purchase items.",Social Skills
"Design engineering parts, assemblies, products, or systems.",Technological Skills
Design prototypes of products or components of products by applying design and engineering principles.,Technological Skills
Determine and schedule production and assembly steps. Plan manpower and equipment needs taking ergonomic considerations into account.,Others Skills
Develop a code of letters and numbers to label diagrams for assembly instructions.,Programming Skills
"Develop testing protocols in collaboration with engineers and scientists to enable a variety of analyses such as environmental, chemical, physical, thermal, structural, resistance or surface analyses on a wide range of materials such as metals, ceramics or plastics.",Thinking Skills
"Devise methods to determine improvement in productivity, adjusting the goals to be reached and the necessary time and resources.",Others Skills
Direct and supervise the day-to-day activities of subordinate personnel.,Social Skills
"Draft sketches and design electromechanical systems, products, and components using Computer Aided Design (CAD) software and equipment.",Digital Skills
"Draw layout specifications for machinery, equipment and building structures. Specify which materials should be used and the size of the components. Show different angles and views of the product.",Technological Skills
Ensure operative processes are finished at a previously agreed-upon time.,Others Skills
Ensure that finished products meet or exceed company specifications.,Personal Skills
"Ensure that the necessary equipment is provided, ready and available for use before start of procedures.",Others Skills
"Estimate the expected input in terms of time, human and financial resources necessary to achieve the project objectives.",Others Skills
"Estimate the operating cost in terms of manpower, consumables and maintenance.",Others Skills
Evaluate how much stock is used and determine what should be ordered.,Others Skills
"Evaluate the need for labour for the work ahead. Evaluate the performance of the team of workers and inform superiors. Encourage and support the employees in learning, teach them techniques and check the application to ensure product quality and labour productivity.",Social Skills
"Follow production schedule taking into account all requirements, times and needs. This schedule outlines what individual commodities must be produced in each time period and encapsulates various concerns like production, staffing, inventory, etc. It is usually linked to manufacturing where the plan indicates when and how much of each product will be demanded. Utilise all the information in the actual implementation of the plan.",Others Skills
"Gain, correct or improve knowledge about phenomena by using scientific methods and techniques, based on empirical or measurable observations.",Thinking Skills
Give consent to the finished engineering design to go over to the actual manufacturing and assembly of the product.,Social Skills
"Handle customer expectations in a professional manner, anticipating and addressing their needs and desires. Provide flexible customer service to ensure customer satisfaction and loyalty.",Social Skills
"Hire new employees by scoping the job role, advertising, performing interviews and selecting staff in line with company policy and legislation.",Others Skills
"Identify operating problems, decide what to do about it and report accordingly.",Technological Skills
"Interpret and analyse data collected during testing in order to formulate conclusions, new insights or solutions.",Digital Skills
"Keep records of the machine's faults, interventions and irregularities for quality control.",Others Skills
Lead and manage according to the organisation's code of conduct.,Personal Skills
"Lead inspections and the protocol involved, such as introducing the inspection team, explaining the purpose of the inspection, performing the inspection, requesting documents, asking appropriate questions, and maintaining a high level of professionalism when investigating subjects.",Personal Skills
"Liaise with managers of other departments ensuring effective service and communication, i.e. sales, planning, purchasing, trading, distribution and technical.",Social Skills
List the design specifications such as materials and parts to be used and a cost estimate.,Others Skills
Maintain equipment used for testing the quality of systems and products.,Technological Skills
"Maintain records of the progress of the work including time, defects, malfunctions, etc.",Others Skills
"Measure the size of a processed part when checking and marking it to check if it is up to standard by use of two and three dimensional precision measuring equipment such as a caliper, a micrometer, and a measuring gauge.",Others Skills
"Monitor activities and perform tasks ensuring compliance with standards involving environmental protection and sustainability, and amend activities in the case of changes in environmental legislation. Ensure that the processes are compliant with environment regulations and best practices.",Others Skills
Monitor and assure the quality of the provided goods or services by overseeing that all the factors of the production meet quality requirements. Supervise product inspection and testing.,Others Skills
"Monitor and control the flow of supplies that includes the purchase, storage and movement of the required quality of raw materials, and also work-in-progress inventory. Manage supply chain activities and synchronise supply with demand of production and customer.",Others Skills
Monitor quality standards in manufacturing and finishing process.,Others Skills
Offer help and advice to service technicians in case of machine malfunctions and other repair tasks.,Social Skills
"Oversee the selection, training, performance and motivation of staff.",Social Skills
Perform safety audits and inspections on workplaces and workplace equipment. Ensure that they meet safety regulations and identify hazards and risks.,Social Skills
"Perform tests putting a system, machine, tool or other equipment through a series of actions under actual operating conditions in order to assess its reliability and suitability to realise its tasks, and adjust settings accordingly.",Technological Skills
"Perform the evaluation and assessment of the potential of a project, plan, proposition or new idea. Realise a standardised study which is based on extensive investigation and research to support the process of decision making.",Personal Skills
Perform the maintenance on installed equipment on-site. Follow procedures to avoid uninstalling equipment from machinery or vehicles.,Technological Skills
"Plan, monitor and report on the budget.",Personal Skills
Plans shifts of employees to ensure completion of all customer orders and satisfactory completion of the production plan.,Social Skills
Prepare and distribute documentation to ensure all people involved in the production receive relevant and up-to-date information.,Social Skills
"Produce research documents or give presentations to report the results of a conducted research and analysis project, indicating the analysis procedures and methods which led to the results, as well as potential interpretations of the results.",Thinking Skills
React quickly in case of emergency and set planned emergency procedures in motion.,Personal Skills
"Read and comprehend standard blueprints, machine, and process drawings.",Technological Skills
"Read and interpret such technical resources such as digital or paper drawings and adjustment data in order to properly set up a machine or working tool, or to assemble mechanical equipment.",Technological Skills
"Read the technical drawings of a product made by the engineer in order to suggest improvements, make models of the product or operate it.",Technological Skills
Recomend product modifications and process improvements.,Personal Skills
Record data which has been identified specifically during preceding tests in order to verify that outputs of the test produce specific results or to review the reaction of the subject under exceptional or unusual input.,Others Skills
"Register, follow-up, solve and respond to customer requests, complaints and after-sales services.",Social Skills
Repair and perform routine maintenance on equipment and systems in power plants to ensure that everything functions safely and is compliant with legislation.,Technological Skills
"Report on production to the hierarchy. Mention a specified set of parameters, such as amount produced and timing, and any issues or unexpected occurrences.",Thinking Skills
"Respond to and communicate with customers in the most efficient and appropriate manner to enable them to access the desired products or services, or any other help they may require.",Social Skills
"Revise and analyse financial information and requirements of projects such as their budget appraisal, expected turnover, and risk assessment for determining the benefits and costs of the project. Assess if the agreement or project will redeem its investment, and whether the potential profit is worth the financial risk.",Others Skills
"Secure the operation site fixing boundaries, restricting access, placing signs and taking other measures in order to guarantee public and staff safety.",Others Skills
Select relevant documentation related to the ongoing or complete work and take steps to archive it in a way that ensures its future accessibility.,Others Skills
Send equipment that didn't pass inspection back to the assembly line for re-assembly.,Others Skills
"Solve problems which arise in planning, prioritising, organising, directing/facilitating action and evaluating performance. Use systematic processes of collecting, analysing, and synthesising information to evaluate current practice and generate new understandings about practice.",Personal Skills
"Transport heavy objects using lifting equipment such as cranes, forklifts etc.",Others Skills
Understand and use technical documentation in the overall technical process.,Thinking Skills
"Use appropriate questions and active listening in order to identify customer expectations, desires and requirements according to product and services.",Social Skills
